ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Captcha,instr,SNT,SNT_Time_1,SNT_Time_2,SNT_Time_3,SNT_Time_4,UNT,UNT_time_1,UNT_time_2,UNT_time_3,UNT_time_4,INT,INT_time_1,INT_time_2,INT_time_3,INT_time_4,DNT,DNT_time_1,DNT_time_2,DNT_time_3,DNT_time_4,Agent_rel_1,Agent_rel_2,Agent_cause_1,Agent_cause_2,Agent_cntrl1_1_1,Agent_cntrl1_1_2,Agent_cntrl1_2_1,Agent_cntrl1_2_2,Agent_cntrl2_1_1,Agent_cntrl2_1_2,Agent_cntrl2_2_1,Agent_cntrl2_2_2,Agent_estims_1,Agent_estims_2,Agent_estims_3,Action_Rel_1,Action_Rel_2,Action_Cause_1,Action_Cause_2,Action_cntrl1_1_1,Action_cntrl1_1_2,Action_cntrl1_2_1,Action_cntrl1_2_2,Action_cntrl2_1_1,Action_cntrl2_1_2,Action_cntrl2_2_1,Action_cntrl2_2_2,Action_estims_1,Action_estims_2,Action_estims_3,Object_Rel_1,Object_Rel_2,Object_cause_1,Object_cause_2,Object_cntrl1_1_1,Object_cntrl1_1_2,Object_cntrl1_2_1,Object_cntrl1_2_2,Object_cntrl2_1_1,Object_cntrl2_1_2,Object_cntrl2_2_1,Object_cntrl2_2_2,Object_estims_1,Object_estims_2,Object_estims_3,Sex,Age,Eth,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,DO-BR-FL_15,DO-BR-FL_22,DO-BL-Standardnormtransgression,DO-BL-Unintendednormtransgression,DO-BL-Ignorantnormtransgression,DO-BL-DeceivedNormTransgression,DO-Q-Agent_rel,DO-Q-Action_Rel,DO-Q-Object_Rel,DO-Q-SNT,DO-Q-UNT,DO-Q-INT,DO-Q-DNT,LocationLatitude,LocationLongitude,LocationAccuracy
R_3nVjiBP7UfBgdpO,Default Response Set,Anonymous,,,216.59.125.42,0,9/30/2016 10:26,9/30/2016 10:27,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,1,1,,,1,16,18,100,,,,,,,,,,,,,,,,2,22,2,,1,,,,,,Standard norm transgression,Action Questions,SNT|SNT_Time,,,,,1|2,,,,,,38.89239502,-77.07350159,-1
R_0k4gNrEMuINlbA5,Default Response Set,Anonymous,,,76.3.5.225,0,9/30/2016 10:27,9/30/2016 10:28,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,,1,,1,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,26,2,,,,1,,,,Deceived Norm Transgression,Agent Questions,,,,DNT|DNT_time,2|1,,,,,,,30.47109985,-86.15519714,-1
R_pSQoAGhm9UppdcJ,Default Response Set,Anonymous,,,142.196.15.154,0,9/30/2016 10:27,9/30/2016 10:28,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,58,43,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,2,,,,,1,,,Deceived Norm Transgression,Agent Questions,,,,DNT|DNT_time,1|2,,,,,,,29.20210266,-80.99980164,-1
R_2PaIOq14luTjep4,Default Response Set,Anonymous,,,68.45.56.237,0,9/30/2016 10:26,9/30/2016 10:29,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,1,1,,1,,0,0,99,1,52,2,,,,,1,,,Unintended norm transgression,Object Questions,,UNT|UNT_time,,,,,1|2,,,,,39.08360291,-86.43209839,-1
R_3D28JSS7rwgC251,Default Response Set,Anonymous,,,24.104.64.110,0,9/30/2016 10:27,9/30/2016 10:29,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,,1,,0,0,100,,,,,,,,,,,,,,,,1,35,2,,,,,1,,,Standard norm transgression,Action Questions,SNT|SNT_Time,,,,,2|1,,,,,,42.07040405,-72.67639923,-1
R_UzqAdcXpWwSPJfP,Default Response Set,Anonymous,,,162.193.59.80,0,9/30/2016 10:28,9/30/2016 10:30,1,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,51,52,51,,,,,,,,,,,,,,,,2,24,2,,,,,1,,,Ignorant norm transgression,Action Questions,,,INT|INT_time,,,2|1,,,,,,32.31950378,-89.13600159,-1
R_2rpRC3MEMv1DV1R,Default Response Set,Anonymous,,,138.210.140.19,0,9/30/2016 10:26,9/30/2016 10:30,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,,1,,50,25,25,1,48,2,,,,,1,,,Standard norm transgression,Object Questions,SNT|SNT_Time,,,,,,2|1,,,,,28.98219299,-81.73509979,-1
R_12amNaecffJ5ZvU,Default Response Set,Anonymous,,,71.12.87.120,0,9/30/2016 10:27,9/30/2016 10:30,1,1,1,1,,,,,,,,,,,1,,,,,,,,,,1,2,1,,1,,,1,1,,1,,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,29,2,,,,,1,,,Ignorant norm transgression,Agent Questions,,,INT|INT_time,,2|1,,,,,,,34.98860168,-81.82499695,-1
R_1lhE9pWmDRQpZnW,Default Response Set,Anonymous,,,206.176.21.23,0,9/30/2016 10:28,9/30/2016 10:30,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,,1,,50,20,30,1,30,2,,,,,1,,,Standard norm transgression,Object Questions,SNT|SNT_Time,,,,,,2|1,,,,,45.48190308,-98.50640106,-1
R_xo3528m2GcBlFBf,Default Response Set,Anonymous,,,24.119.10.20,0,9/30/2016 10:26,9/30/2016 10:30,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,,1,,5,6,84,1,36,2,,,,,1,,,Standard norm transgression,Object Questions,SNT|SNT_Time,,,,,,1|2,,,,,32.82510376,-109.7881012,-1
